id sex a e p
id0023 1 195.119630131328 641.857046257918 836.976676389246
id0024 1 177.435209984188 337.623511107661 515.058721091848
id0030 1 156.956471125072 40.3104354576765 197.266906582749
id0032 1 16.3936490831797 423.495492978275 439.889142061455
id0033 1 345.225186893224 598.000259768573 943.225446661797
id0037 1 147.209494882215 626.348512776709 773.558007658924
id0038 1 137.928040450165 625.124143733207 763.052184183373
id0040 1 145.093510201796 397.577268092932 542.670778294729
id0027 2 358.454656859674 634.893867830616 993.34852469029
id0028 2 189.416865726548 307.979393965253 497.396259691801
id0029 2 387.897421725069 39.8753524583595 427.772774183428
id0031 2 27.8457800815784 532.28499233053 560.130772412109
id0034 2 191.212217254559 632.291591323779 823.503808578337
id0035 2 242.851099069734 554.319971035027 797.171070104761
id0036 2 82.2316640141442 560.997797372951 643.229461387095
id0039 2 209.468430802646 445.21687334538 654.685304148026
